/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 1
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.06
  Ep  940 | SR=0% | Steps=15.0 | R=-26.80
  Ep  950 | SR=0% | Steps=15.0 | R=-27.08
  Ep  960 | SR=0% | Steps=15.0 | R=-25.36
  Ep  970 | SR=0% | Steps=15.0 | R=-29.72
  Ep  980 | SR=0% | Steps=15.0 | R=-29.86
  Ep  990 | SR=0% | Steps=15.0 | R=-26.39
  Ep 1000 | SR=0% | Steps=15.0 | R=-29.47
  Ep 1010 | SR=0% | Steps=15.0 | R=-28.69
  Ep 1020 | SR=0% | Steps=15.0 | R=-29.53
  Ep 1030 | SR=0% | Steps=15.0 | R=-30.53
  Ep 1040 | SR=0% | Steps=15.0 | R=-27.78
  Ep 1050 | SR=0% | Steps=15.0 | R=-28.81
  Ep 1060 | SR=0% | Steps=15.0 | R=-27.41
  Ep 1070 | SR=0% | Steps=15.0 | R=-26.91
  Ep 1080 | SR=0% | Steps=15.0 | R=-28.79
  Ep 1090 | SR=0% | Steps=15.0 | R=-30.50
  Ep 1100 | SR=0% | Steps=15.0 | R=-29.55
  Ep 1110 | SR=0% | Steps=15.0 | R=-27.55
  Ep 1120 | SR=0% | Steps=15.0 | R=-27.66
  Ep 1130 | SR=0% | Steps=15.0 | R=-23.88
  Ep 1140 | SR=0% | Steps=15.0 | R=-27.17
  Ep 1150 | SR=0% | Steps=15.0 | R=-29.84
  Ep 1160 | SR=0% | Steps=15.0 | R=-26.61
  Ep 1170 | SR=0% | Steps=15.0 | R=-25.82
  Ep 1180 | SR=0% | Steps=15.0 | R=-25.94
  Ep 1190 | SR=0% | Steps=15.0 | R=-25.08
  Ep 1200 | SR=0% | Steps=15.0 | R=-26.12
  Ep 1210 | SR=0% | Steps=15.0 | R=-27.94
  Ep 1220 | SR=0% | Steps=15.0 | R=-27.98
  Ep 1230 | SR=0% | Steps=15.0 | R=-21.61
  Ep 1240 | SR=0% | Steps=15.0 | R=-22.87
  Ep 1250 | SR=0% | Steps=15.0 | R=-26.08
  Ep 1260 | SR=0% | Steps=15.0 | R=-23.74
  Ep 1270 | SR=0% | Steps=15.0 | R=-25.76
  Ep 1280 | SR=0% | Steps=15.0 | R=-25.93
  Ep 1290 | SR=0% | Steps=15.0 | R=-18.82
  Ep 1300 | SR=0% | Steps=15.0 | R=-26.37
  Ep 1310 | SR=0% | Steps=15.0 | R=-18.54
  Ep 1320 | SR=0% | Steps=15.0 | R=-25.00
  Ep 1330 | SR=0% | Steps=15.0 | R=-27.20
  Ep 1340 | SR=0% | Steps=15.0 | R=-16.74
  Ep 1350 | SR=0% | Steps=15.0 | R=-22.63
  Ep 1360 | SR=0% | Steps=15.0 | R=-23.08
  Ep 1370 | SR=0% | Steps=15.0 | R=-23.69
  Ep 1380 | SR=0% | Steps=15.0 | R=-19.68
  Ep 1390 | SR=0% | Steps=15.0 | R=-22.03
  Ep 1400 | SR=0% | Steps=15.0 | R=-25.49
  Ep 1410 | SR=0% | Steps=15.0 | R=-22.50
  Ep 1420 | SR=0% | Steps=15.0 | R=-21.50
  Ep 1430 | SR=0% | Steps=15.0 | R=-21.96
  Ep 1440 | SR=0% | Steps=15.0 | R=-21.31
  Ep 1450 | SR=0% | Steps=15.0 | R=-24.07
  Ep 1460 | SR=0% | Steps=15.0 | R=-22.35
  Ep 1470 | SR=0% | Steps=15.0 | R=-18.91
  Ep 1480 | SR=0% | Steps=15.0 | R=-12.42
  Ep 1490 | SR=0% | Steps=15.0 | R=-22.78
  Ep 1500 | SR=0% | Steps=15.0 | R=-21.84
  Ep 1510 | SR=0% | Steps=15.0 | R=-18.18
  Ep 1520 | SR=0% | Steps=15.0 | R=-22.64
  Ep 1530 | SR=0% | Steps=15.0 | R=-26.39
  Ep 1540 | SR=0% | Steps=15.0 | R=-16.79
  Ep 1550 | SR=0% | Steps=15.0 | R=-22.57
  Ep 1560 | SR=0% | Steps=15.0 | R=-16.73
  Ep 1570 | SR=0% | Steps=15.0 | R=-18.53
  Ep 1580 | SR=0% | Steps=15.0 | R=-25.96
  Ep 1590 | SR=0% | Steps=15.0 | R=-12.87
  Ep 1600 | SR=0% | Steps=15.0 | R=-11.94
  Ep 1610 | SR=0% | Steps=15.0 | R=-15.07
  Ep 1620 | SR=0% | Steps=15.0 | R=-15.20
  Ep 1630 | SR=0% | Steps=15.0 | R=-25.04
  Ep 1640 | SR=0% | Steps=15.0 | R=-15.17
  Ep 1650 | SR=0% | Steps=15.0 | R=-11.15
  Ep 1660 | SR=0% | Steps=15.0 | R=-15.90
  Ep 1670 | SR=0% | Steps=15.0 | R=-17.71
  Ep 1680 | SR=0% | Steps=15.0 | R=-15.50
  Ep 1690 | SR=0% | Steps=15.0 | R=-15.83
  Ep 1700 | SR=0% | Steps=15.0 | R=-11.86
  Ep 1710 | SR=0% | Steps=15.0 | R=-7.27
  Ep 1720 | SR=0% | Steps=15.0 | R=-3.83
  Ep 1730 | SR=0% | Steps=15.0 | R=-11.41
  Ep 1740 | SR=0% | Steps=15.0 | R=-13.55
  Ep 1750 | SR=0% | Steps=15.0 | R=-13.83
  Ep 1760 | SR=0% | Steps=15.0 | R=-12.34
  Ep 1770 | SR=0% | Steps=15.0 | R=-12.64
  Ep 1780 | SR=0% | Steps=15.0 | R=-15.01
  Ep 1790 | SR=0% | Steps=15.0 | R=-9.68
  Ep 1800 | SR=0% | Steps=15.0 | R=-6.77
  Ep 1810 | SR=0% | Steps=15.0 | R=-15.10
  Ep 1820 | SR=0% | Steps=15.0 | R=-17.36
  Ep 1830 | SR=0% | Steps=15.0 | R=-17.18
  Ep 1840 | SR=0% | Steps=15.0 | R=-8.97
  Ep 1850 | SR=0% | Steps=15.0 | R=-12.12
  Ep 1860 | SR=0% | Steps=15.0 | R=-15.74
  Ep 1870 | SR=0% | Steps=15.0 | R=-10.32
  Ep 1880 | SR=0% | Steps=15.0 | R=-14.37
  Ep 1890 | SR=0% | Steps=15.0 | R=-12.23
  Ep 1900 | SR=0% | Steps=15.0 | R=-21.08
  Ep 1910 | SR=0% | Steps=15.0 | R=-15.99
  Ep 1920 | SR=0% | Steps=15.0 | R=-2.65
  Ep 1930 | SR=0% | Steps=15.0 | R=-11.07
  Ep 1940 | SR=0% | Steps=15.0 | R=-6.05
  Ep 1950 | SR=0% | Steps=15.0 | R=-13.58
  Ep 1960 | SR=0% | Steps=15.0 | R=-8.77
  Ep 1970 | SR=0% | Steps=15.0 | R=-14.26
  Ep 1980 | SR=0% | Steps=15.0 | R=-19.04
  Ep 1990 | SR=0% | Steps=15.0 | R=-7.99
  Ep 2000 | SR=0% | Steps=15.0 | R=-6.61
  Ep 2010 | SR=0% | Steps=15.0 | R=-17.26
  Ep 2020 | SR=0% | Steps=15.0 | R=-11.02
  Ep 2030 | SR=0% | Steps=15.0 | R=-12.82
  Ep 2040 | SR=0% | Steps=15.0 | R=-10.51
  Ep 2050 | SR=0% | Steps=15.0 | R=-8.71
  Ep 2060 | SR=0% | Steps=15.0 | R=-1.64
  Ep 2070 | SR=0% | Steps=15.0 | R=-17.31
  Ep 2080 | SR=0% | Steps=15.0 | R=-10.55
  Ep 2090 | SR=0% | Steps=15.0 | R=-15.55
  Ep 2100 | SR=0% | Steps=15.0 | R=-9.66
  Ep 2110 | SR=0% | Steps=15.0 | R=-6.30
  Ep 2120 | SR=0% | Steps=15.0 | R=-18.60
  Ep 2130 | SR=0% | Steps=15.0 | R=-11.89
  Ep 2140 | SR=0% | Steps=15.0 | R=-14.46
  Ep 2150 | SR=0% | Steps=15.0 | R=-18.32
  Ep 2160 | SR=0% | Steps=15.0 | R=-14.82
  Ep 2170 | SR=0% | Steps=15.0 | R=-14.73
  Ep 2180 | SR=0% | Steps=15.0 | R=-5.39
  Ep 2190 | SR=0% | Steps=15.0 | R=-24.93
  Ep 2200 | SR=0% | Steps=15.0 | R=-18.28
  Ep 2210 | SR=0% | Steps=15.0 | R=-14.65
  Ep 2220 | SR=0% | Steps=15.0 | R=-10.39
  Ep 2230 | SR=0% | Steps=15.0 | R=-12.75
  Ep 2240 | SR=0% | Steps=15.0 | R=-13.43
  Ep 2250 | SR=0% | Steps=15.0 | R=-12.38
  Ep 2260 | SR=0% | Steps=15.0 | R=-7.39
  Ep 2270 | SR=0% | Steps=15.0 | R=-20.10
  Ep 2280 | SR=0% | Steps=15.0 | R=-17.90
  Ep 2290 | SR=0% | Steps=15.0 | R=-10.17
  Ep 2300 | SR=0% | Steps=15.0 | R=-12.60
  Ep 2310 | SR=0% | Steps=15.0 | R=-12.42
  Ep 2320 | SR=0% | Steps=15.0 | R=-8.22
  Ep 2330 | SR=0% | Steps=15.0 | R=-7.24
  Ep 2340 | SR=0% | Steps=15.0 | R=-10.78
  Ep 2350 | SR=0% | Steps=15.0 | R=-15.84
  Ep 2360 | SR=0% | Steps=15.0 | R=-15.65
  Ep 2370 | SR=0% | Steps=15.0 | R=-18.64
  Ep 2380 | SR=0% | Steps=15.0 | R=-24.36
  Ep 2390 | SR=0% | Steps=15.0 | R=-13.22
  Ep 2400 | SR=0% | Steps=15.0 | R=-12.39
  Ep 2410 | SR=0% | Steps=15.0 | R=-11.54
  Ep 2420 | SR=0% | Steps=15.0 | R=-9.37
  Ep 2430 | SR=0% | Steps=15.0 | R=-7.39
  Ep 2440 | SR=0% | Steps=15.0 | R=-12.32
  Ep 2450 | SR=0% | Steps=15.0 | R=-12.18
  Ep 2460 | SR=0% | Steps=15.0 | R=-20.55
  Ep 2470 | SR=0% | Steps=15.0 | R=-9.92
  Ep 2480 | SR=0% | Steps=15.0 | R=-18.78
  Ep 2490 | SR=0% | Steps=15.0 | R=-13.45
  Ep 2500 | SR=0% | Steps=15.0 | R=-17.96
  Ep 2510 | SR=0% | Steps=15.0 | R=-7.79
  Ep 2520 | SR=0% | Steps=15.0 | R=-15.82
  Ep 2530 | SR=0% | Steps=15.0 | R=-10.17
  Ep 2540 | SR=0% | Steps=15.0 | R=-16.53
  Ep 2550 | SR=0% | Steps=15.0 | R=-18.65
  Ep 2560 | SR=0% | Steps=15.0 | R=-20.44
  Ep 2570 | SR=0% | Steps=15.0 | R=-17.44
  Ep 2580 | SR=0% | Steps=15.0 | R=-9.01
  Ep 2590 | SR=0% | Steps=15.0 | R=-7.92
  Ep 2600 | SR=0% | Steps=15.0 | R=-20.11
  Ep 2610 | SR=0% | Steps=15.0 | R=-6.30
  Ep 2620 | SR=0% | Steps=15.0 | R=-20.66
  Ep 2630 | SR=0% | Steps=15.0 | R=-16.60
  Ep 2640 | SR=0% | Steps=15.0 | R=-11.01
  Ep 2650 | SR=0% | Steps=15.0 | R=-12.60
  Ep 2660 | SR=0% | Steps=15.0 | R=-8.05
  Ep 2670 | SR=0% | Steps=15.0 | R=-10.78
  Ep 2680 | SR=0% | Steps=15.0 | R=-8.03
  Ep 2690 | SR=0% | Steps=15.0 | R=-15.97
  Ep 2700 | SR=0% | Steps=15.0 | R=-7.58
  Ep 2710 | SR=0% | Steps=15.0 | R=-6.56
  Ep 2720 | SR=0% | Steps=15.0 | R=-14.96
  Ep 2730 | SR=0% | Steps=15.0 | R=-18.85
  Ep 2740 | SR=0% | Steps=15.0 | R=-7.99
  Ep 2750 | SR=0% | Steps=15.0 | R=-14.43
  Ep 2760 | SR=0% | Steps=15.0 | R=-15.12
  Ep 2770 | SR=0% | Steps=15.0 | R=-3.93
  Ep 2780 | SR=0% | Steps=15.0 | R=-10.72
  Ep 2790 | SR=0% | Steps=15.0 | R=-9.17
  Ep 2800 | SR=0% | Steps=15.0 | R=-3.76
  Ep 2810 | SR=0% | Steps=15.0 | R=-12.44
  Ep 2820 | SR=0% | Steps=15.0 | R=-16.28
  Ep 2830 | SR=0% | Steps=15.0 | R=-12.14
  Ep 2840 | SR=0% | Steps=15.0 | R=-7.13
  Ep 2850 | SR=0% | Steps=15.0 | R=-9.19
  Ep 2860 | SR=0% | Steps=15.0 | R=-19.50
  Ep 2870 | SR=0% | Steps=15.0 | R=-13.49
  Ep 2880 | SR=0% | Steps=15.0 | R=-13.70
  Ep 2890 | SR=0% | Steps=15.0 | R=-4.05
  Ep 2900 | SR=0% | Steps=15.0 | R=-10.59
  Ep 2910 | SR=0% | Steps=15.0 | R=-14.22
  Ep 2920 | SR=0% | Steps=15.0 | R=-7.44
  Ep 2930 | SR=0% | Steps=15.0 | R=-6.62
  Ep 2940 | SR=0% | Steps=15.0 | R=-10.10
  Ep 2950 | SR=0% | Steps=15.0 | R=-17.53
  Ep 2960 | SR=0% | Steps=15.0 | R=-14.39
  Ep 2970 | SR=0% | Steps=15.0 | R=-12.37
  Ep 2980 | SR=0% | Steps=15.0 | R=-14.15
  Ep 2990 | SR=0% | Steps=15.0 | R=-21.00
  Ep 3000 | SR=0% | Steps=15.0 | R=-17.51
  Ep 3010 | SR=0% | Steps=15.0 | R=-4.63
  Ep 3020 | SR=0% | Steps=15.0 | R=-10.96
  Ep 3030 | SR=0% | Steps=15.0 | R=-16.26
  Ep 3040 | SR=0% | Steps=15.0 | R=-11.37
  Ep 3050 | SR=0% | Steps=15.0 | R=-3.59
  Ep 3060 | SR=0% | Steps=15.0 | R=-11.40
  Ep 3070 | SR=0% | Steps=15.0 | R=-10.29
  Ep 3080 | SR=0% | Steps=15.0 | R=-8.31
  Ep 3090 | SR=0% | Steps=15.0 | R=-5.52
  Ep 3100 | SR=0% | Steps=15.0 | R=-11.03
  Ep 3110 | SR=0% | Steps=15.0 | R=-16.38
  Ep 3120 | SR=0% | Steps=15.0 | R=-12.33
  Ep 3130 | SR=0% | Steps=15.0 | R=-17.75
  Ep 3140 | SR=0% | Steps=15.0 | R=-14.58
  Ep 3150 | SR=0% | Steps=15.0 | R=-14.12
  Ep 3160 | SR=0% | Steps=15.0 | R=-13.71
  Ep 3170 | SR=0% | Steps=15.0 | R=-16.63
  Ep 3180 | SR=0% | Steps=15.0 | R=-8.15
  Ep 3190 | SR=0% | Steps=15.0 | R=-4.93
  Ep 3200 | SR=0% | Steps=15.0 | R=-10.73
  Ep 3210 | SR=0% | Steps=15.0 | R=-24.75
  Ep 3220 | SR=0% | Steps=15.0 | R=-22.14
  Ep 3230 | SR=0% | Steps=15.0 | R=-13.76
  Ep 3240 | SR=0% | Steps=15.0 | R=-1.33
  Ep 3250 | SR=0% | Steps=15.0 | R=-17.02
  Ep 3260 | SR=0% | Steps=15.0 | R=-6.67
  Ep 3270 | SR=0% | Steps=15.0 | R=-17.26
  Ep 3280 | SR=0% | Steps=15.0 | R=-3.88
  Ep 3290 | SR=0% | Steps=15.0 | R=-11.91
  Ep 3300 | SR=0% | Steps=15.0 | R=-1.83
  Ep 3310 | SR=0% | Steps=15.0 | R=-15.78
  Ep 3320 | SR=0% | Steps=15.0 | R=-8.33
  Ep 3330 | SR=0% | Steps=15.0 | R=-7.05
  Ep 3340 | SR=0% | Steps=15.0 | R=-13.18
  Ep 3350 | SR=0% | Steps=15.0 | R=-9.90
  Ep 3360 | SR=0% | Steps=15.0 | R=-3.82
  Ep 3370 | SR=0% | Steps=15.0 | R=-16.98
  Ep 3380 | SR=0% | Steps=15.0 | R=-7.83
  Ep 3390 | SR=0% | Steps=15.0 | R=-16.89
  Ep 3400 | SR=0% | Steps=15.0 | R=-3.92
  Ep 3410 | SR=0% | Steps=15.0 | R=-13.77
  Ep 3420 | SR=0% | Steps=15.0 | R=-13.84
  Ep 3430 | SR=0% | Steps=15.0 | R=-8.93
  Ep 3440 | SR=0% | Steps=15.0 | R=-10.78
  Ep 3450 | SR=0% | Steps=15.0 | R=-6.95
  Ep 3460 | SR=0% | Steps=15.0 | R=-10.22
  Ep 3470 | SR=0% | Steps=15.0 | R=-10.59
  Ep 3480 | SR=0% | Steps=15.0 | R=-11.66
  Ep 3490 | SR=0% | Steps=15.0 | R=-11.30
  Ep 3500 | SR=0% | Steps=15.0 | R=-10.58
  Ep 3510 | SR=0% | Steps=15.0 | R=-5.44
  Ep 3520 | SR=0% | Steps=15.0 | R=-7.80
  Ep 3530 | SR=0% | Steps=15.0 | R=-18.09
  Ep 3540 | SR=0% | Steps=15.0 | R=-23.35
  Ep 3550 | SR=0% | Steps=15.0 | R=-7.71
  Ep 3560 | SR=0% | Steps=15.0 | R=-7.14
  Ep 3570 | SR=0% | Steps=15.0 | R=-10.11
  Ep 3580 | SR=0% | Steps=15.0 | R=-14.80
  Ep 3590 | SR=0% | Steps=15.0 | R=-13.08
  Ep 3600 | SR=0% | Steps=15.0 | R=-13.81
  Ep 3610 | SR=0% | Steps=15.0 | R=-4.53
  Ep 3620 | SR=0% | Steps=15.0 | R=-18.04
  Ep 3630 | SR=0% | Steps=15.0 | R=-3.58
  Ep 3640 | SR=0% | Steps=15.0 | R=-10.16
  Ep 3650 | SR=0% | Steps=15.0 | R=-18.10
  Ep 3660 | SR=0% | Steps=15.0 | R=-10.17
  Ep 3670 | SR=0% | Steps=15.0 | R=-11.74
  Ep 3680 | SR=0% | Steps=15.0 | R=-9.54
  Ep 3690 | SR=0% | Steps=15.0 | R=-6.07
  Ep 3700 | SR=0% | Steps=15.0 | R=-12.68
  Ep 3710 | SR=0% | Steps=15.0 | R=-12.20
  Ep 3720 | SR=0% | Steps=15.0 | R=-11.68
  Ep 3730 | SR=0% | Steps=15.0 | R=-13.75
  Ep 3740 | SR=0% | Steps=15.0 | R=-22.53
  Ep 3750 | SR=0% | Steps=15.0 | R=0.59
  Ep 3760 | SR=0% | Steps=15.0 | R=-11.23
  Ep 3770 | SR=0% | Steps=15.0 | R=-12.53
  Ep 3780 | SR=0% | Steps=15.0 | R=-15.12
  Ep 3790 | SR=0% | Steps=15.0 | R=-7.88
  Ep 3800 | SR=0% | Steps=15.0 | R=-2.80
  Ep 3810 | SR=0% | Steps=15.0 | R=-19.09
  Ep 3820 | SR=0% | Steps=15.0 | R=-22.18
  Ep 3830 | SR=0% | Steps=15.0 | R=-14.90
  Ep 3840 | SR=0% | Steps=15.0 | R=-12.25
  Ep 3850 | SR=0% | Steps=15.0 | R=-11.02
  Ep 3860 | SR=0% | Steps=15.0 | R=-15.87
  Ep 3870 | SR=0% | Steps=15.0 | R=-6.55
  Ep 3880 | SR=0% | Steps=15.0 | R=-8.65
  Ep 3890 | SR=0% | Steps=15.0 | R=-6.91
  Ep 3900 | SR=0% | Steps=15.0 | R=-8.40
  Ep 3910 | SR=0% | Steps=15.0 | R=-15.47
  Ep 3920 | SR=0% | Steps=15.0 | R=-15.44
  Ep 3930 | SR=0% | Steps=15.0 | R=-13.79
  Ep 3940 | SR=0% | Steps=15.0 | R=-9.77
  Ep 3950 | SR=0% | Steps=15.0 | R=-10.78
  Ep 3960 | SR=0% | Steps=15.0 | R=-17.27
  Ep 3970 | SR=0% | Steps=15.0 | R=-9.93
  Ep 3980 | SR=0% | Steps=15.0 | R=-8.86
  Ep 3990 | SR=0% | Steps=15.0 | R=-16.48
  Ep 4000 | SR=0% | Steps=15.0 | R=-7.60
  Ep 4010 | SR=0% | Steps=15.0 | R=-8.76
  Ep 4020 | SR=0% | Steps=15.0 | R=-18.33
  Ep 4030 | SR=0% | Steps=15.0 | R=-4.73
  Ep 4040 | SR=0% | Steps=15.0 | R=-10.61
  Ep 4050 | SR=0% | Steps=15.0 | R=-16.74
  Ep 4060 | SR=0% | Steps=15.0 | R=-7.06
  Ep 4070 | SR=0% | Steps=15.0 | R=-16.83
  Ep 4080 | SR=0% | Steps=15.0 | R=-15.87
  Ep 4090 | SR=0% | Steps=15.0 | R=-8.44
  Ep 4100 | SR=0% | Steps=15.0 | R=-11.79
  Ep 4110 | SR=0% | Steps=15.0 | R=-8.57
  Ep 4120 | SR=0% | Steps=15.0 | R=-3.97
  Ep 4130 | SR=0% | Steps=15.0 | R=-18.39
  Ep 4140 | SR=0% | Steps=15.0 | R=-21.35
  Ep 4150 | SR=0% | Steps=15.0 | R=-15.82
  Ep 4160 | SR=0% | Steps=15.0 | R=-14.78
  Ep 4170 | SR=0% | Steps=15.0 | R=-9.52
  Ep 4180 | SR=0% | Steps=15.0 | R=-14.72
  Ep 4190 | SR=0% | Steps=15.0 | R=-10.54
  Ep 4200 | SR=0% | Steps=15.0 | R=-17.17
  Ep 4210 | SR=0% | Steps=15.0 | R=-16.04
  Ep 4220 | SR=0% | Steps=15.0 | R=-9.92
  Ep 4230 | SR=0% | Steps=15.0 | R=-25.64
  Ep 4240 | SR=0% | Steps=15.0 | R=-12.84
  Ep 4250 | SR=0% | Steps=15.0 | R=-6.76
  Ep 4260 | SR=0% | Steps=15.0 | R=-10.75
  Ep 4270 | SR=0% | Steps=15.0 | R=-5.26
  Ep 4280 | SR=0% | Steps=15.0 | R=-10.72
